number,value,datetime_start,datetime_complete,duration,params_aux_weight,params_batch_size,params_dropout,params_focal_alpha,params_focal_gamma,params_lr,params_pos_weight,params_warmup_ratio,params_weight_decay,state
41,0.47435897435897434,2026-03-03 05:28:29.649335,2026-03-03 05:32:57.346309,0 days 00:04:27.696974,0.25531808045869686,8,0.2157773437023065,0.526208177296966,0.4251989553018616,3.383307062242149e-05,4.728214933083889,0.16751678780121937,0.012940435749691965,PRUNED
42,0.39669421487603307,2026-03-03 05:32:57.347860,2026-03-03 05:37:30.261207,0 days 00:04:32.913347,0.1887276519854195,16,0.2290847930309331,0.8078457262094749,1.8884347492818707,2.280870026379077e-05,3.299143458088227,0.13667220109264153,0.005217317388979457,PRUNED
43,0.49193548387096775,2026-03-03 05:37:30.263432,2026-03-03 05:41:58.051024,0 days 00:04:27.787592,0.23838105255548253,8,0.24151951192401877,0.8717677132157171,1.9742369995055271,2.4882312625523098e-05,4.451893831085687,0.11593789550919333,0.04349432758037377,PRUNED
44,0.4470588235294118,2026-03-03 05:41:58.052607,2026-03-03 05:46:25.946430,0 days 00:04:27.893823,0.20373508527856138,8,0.24911058977131328,0.7788801459675396,1.7565292316401622,2.0654391933467288e-05,3.5770923739254643,0.10807797480128595,0.0015979018324600023,PRUNED
45,0.5333333333333333,2026-03-03 05:46:25.948134,2026-03-03 05:57:34.560637,0 days 00:11:08.612503,0.2571500257842926,8,0.28534908120086677,0.6153597075942184,1.9999421371284225,3.2236261734217634e-05,4.8061910821613045,0.05966863377036532,0.07369713631344858,COMPLETE
46,0.4316546762589928,2026-03-03 05:57:34.562295,2026-03-03 06:02:02.359818,0 days 00:04:27.797523,0.2708030497964709,8,0.2872310777395658,0.6159992681054229,1.9977097543954223,3.1252387807808536e-05,4.787872847336329,0.06341049644467411,0.06972117590397368,PRUNED
47,0.4896265560165975,2026-03-03 06:02:02.361435,2026-03-03 06:06:30.099681,0 days 00:04:27.738246,0.2816011872259726,8,0.28558285388990695,0.668592109592178,1.8730443605919558,4.320569145307767e-05,4.816644160296766,0.05932072634015241,0.0033929470299488944,PRUNED
48,0.4897959183673469,2026-03-03 06:06:30.101474,2026-03-03 06:10:57.789738,0 days 00:04:27.688264,0.17037041067125025,8,0.263589176269346,0.570256068011034,1.6861458086522763,3.3723171103306906e-05,2.3168749085507527,0.12517345268578767,0.03135710481519411,PRUNED
49,0.4474885844748858,2026-03-03 06:10:57.791319,2026-03-03 06:15:25.473610,0 days 00:04:27.682291,0.21797757858483524,8,0.18339579235589026,0.6366370843738843,1.3140058182577459,2.8839500806554473e-05,4.987099689602776,0.09829457003840132,0.016789014949588794,PRUNED
50,0.4827586206896552,2026-03-03 06:15:25.475077,2026-03-03 06:19:53.281066,0 days 00:04:27.805989,0.1074845397192699,8,0.28102949100495084,0.5004575886067584,1.803148630338672,2.421546335789352e-05,4.2596901817440225,0.07217952995885456,0.09990064120732728,PRUNED
51,0.4868913857677903,2026-03-03 06:19:53.282798,2026-03-03 06:24:21.115857,0 days 00:04:27.833059,0.3049907148548507,8,0.26866150541444994,0.5263924226308127,1.8877206368562502,1.8391735340459236e-05,4.489375810489317,0.08468246028732954,0.01183164905254435,PRUNED
52,0.4834123222748815,2026-03-03 06:24:21.117560,2026-03-03 06:28:54.019364,0 days 00:04:32.901804,0.2568582977431939,16,0.2529605084118384,0.7243864472329942,0.021141697564759032,2.089480316767881e-05,4.079366015898085,0.05634796106299779,0.00808424061069228,PRUNED
